Sample_ID,Year_Month_Code,Project_ID,CDFW_Vessel_Number,PacFIN_Species_Code,Sample_Number,Port,Capture_Date,Vessel,Fork_Length_mm,Sex,Maturity,Otoliths_Retained,Fin_Clip_Retained,Comments
202307-1012-30068-BRWN-32,202307,1012,30068,BRWN,32,Bodega Bay,7/26/2023,New Sea Angler,371,F,1,Yes,Yes,stage 3 
202307-1012-30068-CNRY-33,202307,1012,30068,CNRY,33,Bodega Bay,7/26/2023,New Sea Angler,321,F,0,Yes,Yes,stage 1
202307-1012-30068-BRWN-34,202307,1012,30068,BRWN,34,Bodega Bay,7/26/2023,New Sea Angler,335,F,0,Yes,Yes,stage 1 
202307-1012-30068-BRWN-35,202307,1012,30068,BRWN,35,Bodega Bay,7/26/2023,New Sea Angler,357,M,1,Yes,Yes,
202307-1012-30068-BRWN-36,202307,1012,30068,BRWN,36,Bodega Bay,7/26/2023,New Sea Angler,392,F,1,Yes,Yes,stage 3 
202307-1012-30068-BRWN-37,202307,1012,30068,BRWN,37,Bodega Bay,7/26/2023,New Sea Angler,391,F,1,Yes,Yes,stage 2 
202307-1012-30068-CHNA-38,202307,1012,30068,CHNA,38,Bodega Bay,7/26/2023,New Sea Angler,309,F,1,Yes,Yes,stage 5
202307-1012-30068-BRWN-39,202307,1012,30068,BRWN,39,Bodega Bay,7/26/2023,New Sea Angler,352,M,1,Yes,Yes,
202307-1012-30068-BRWN-40,202307,1012,30068,BRWN,40,Bodega Bay,7/26/2023,New Sea Angler,352,M,1,Yes,Yes,
202307-1012-30068-BRWN-41,202307,1012,30068,BRWN,41,Bodega Bay,7/26/2023,New Sea Angler,390,F,1,Yes,Yes,stage 5 
202307-1012-30068-BRWN-42,202307,1012,30068,BRWN,42,Bodega Bay,7/26/2023,New Sea Angler,365,F,1,Yes,Yes,stage 3 
202307-1012-30068-BRWN-43,202307,1012,30068,BRWN,43,Bodega Bay,7/26/2023,New Sea Angler,349,F,1,Yes,Yes,
202307-1012-30068-BRWN-44,202307,1012,30068,BRWN,44,Bodega Bay,7/26/2023,New Sea Angler,350,F,1,Yes,Yes,stage 7 
202307-1012-30068-BRWN-45,202307,1012,30068,BRWN,45,Bodega Bay,7/26/2023,New Sea Angler,343,F,0,Yes,Yes,
202307-1012-30068-CNRY-46,202307,1012,30068,CNRY,46,Bodega Bay,7/26/2023,New Sea Angler,305,F,1,Yes,Yes,stage 7 
202307-1012-30068-BRWN-47,202307,1012,30068,BRWN,47,Bodega Bay,7/26/2023,New Sea Angler,419,F,1,Yes,Yes,
202307-1012-30068-BRWN-48,202307,1012,30068,BRWN,48,Bodega Bay,7/26/2023,New Sea Angler,380,F,1,Yes,Yes,stage 7
202307-1012-30068-VRML-49,202307,1012,30068,VRML,49,Bodega Bay,7/30/2023,New Sea Angler,345,F,1,Yes,Yes,stage 7
202307-1012-30068-DEAC-50,202307,1012,30068,DEAC,50,Bodega Bay,7/30/2023,New Sea Angler,323,F,1,Yes,Yes,stage 5
202307-1012-73873-VRML-1,202307,1012,73873,VRML,1,Moss Landing,7/3/2023,Last Meal,524,M,1,Yes,No,
202307-1012-73873-VRML-2,202307,1012,73873,VRML,2,Moss Landing,7/3/2023,Last Meal,501,F,1,Yes,No,
202307-1012-73873-VRML-3,202307,1012,73873,VRML,3,Moss Landing,7/3/2023,Last Meal,497,F,1,Yes,No,
202307-1012-73873-VRML-4,202307,1012,73873,VRML,4,Moss Landing,7/3/2023,Last Meal,466,M,1,Yes,No,
202307-1012-73873-VRML-5,202307,1012,73873,VRML,5,Moss Landing,7/3/2023,Last Meal,515,F,1,Yes,No,
202307-1012-73873-GSPT-6,202307,1012,73873,GSPT,6,Moss Landing,7/3/2023,Last Meal,347,M,UNK,Yes,No,gut punctured
202307-1012-73873-VRML-7,202307,1012,73873,VRML,7,Moss Landing,7/3/2023,Last Meal,479,F,1,Yes,No,
202307-1012-73873-GSPT-8,202307,1012,73873,GSPT,8,Moss Landing,7/3/2023,Last Meal,335,F,1,Yes,No,
202307-1012-73873-VRML-9,202307,1012,73873,VRML,9,Moss Landing,7/3/2023,Last Meal,567,F,1,Yes,No,
202307-1012-73873-GSPT-10,202307,1012,73873,GSPT,10,Moss Landing,7/3/2023,Last Meal,378,M,UNK,Yes,No,gut punctured
202307-1012-73873-GSPT-11,202307,1012,73873,GSPT,11,Moss Landing,7/3/2023,Last Meal,367,U,UNK,Yes,No,"gut punctured, no gonads present"
202307-1012-73873-GSPT-12,202307,1012,73873,GSPT,12,Moss Landing,7/3/2023,Last Meal,375,M,1,Yes,No,
202307-1012-73873-GSPT-13,202307,1012,73873,GSPT,13,Moss Landing,7/3/2023,Last Meal,377,F,1,Yes,No,
202307-1012-73873-VRML-14,202307,1012,73873,VRML,14,Moss Landing,7/3/2023,Last Meal,538,F,1,Yes,No,
202307-1012-73873-GSPT-15,202307,1012,73873,GSPT,15,Moss Landing,7/3/2023,Last Meal,350,F,UNK,Yes,No,gonads sliced
